"state","varroa_mites","other_pests","disease","pesticides","other","unknown"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"Ohio",65.3,33.5,0.7,5.7,1,4.4
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"Pennsylvania",13.8,7.2,2.7,6.9,1.1,1.1
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"Texas",46.8,42.3,10.9,12.1,30.1,10.2
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"Wisconsin",67.2,9.8,47.8,49.2,48.1,46.8
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"United States",50.9,13.9,6.5,10.5,13.6,6
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
